dep_delay,arr_delay,taxi_out,distance,air_time,Cluster
-4.0,-8.0,15.0,129.0,37.0,2
2.0,-2.0,18.0,5095.0,555.0,0
4.0,-3.0,11.0,245.0,52.0,2
-7.0,-11.0,11.0,1182.0,175.0,0
-5.0,-4.0,17.0,1189.0,149.0,2
-11.0,-14.0,25.0,359.0,54.0,2
-2.0,-3.0,10.0,1058.0,147.0,2
-8.0,-37.0,13.0,184.0,40.0,2
134.0,128.0,21.0,462.0,79.0,1
-6.0,-7.0,17.0,495.0,76.0,2
116.0,137.0,30.0,196.0,50.0,1
2.0,1.0,11.0,407.0,74.0,2
-5.0,-8.0,20.0,280.0,51.0,2
-4.0,-23.0,13.0,842.0,128.0,2
-1.0,3.0,28.0,690.0,90.0,2
69.0,103.0,24.0,956.0,150.0,1
5.0,-8.0,8.0,1047.0,148.0,2
28.0,25.0,14.0,621.0,92.0,2
-6.0,-22.0,20.0,577.0,85.0,2
16.0,10.0,19.0,672.0,95.0,2
14.0,54.0,59.0,226.0,46.0,1
-10.0,-28.0,17.0,696.0,86.0,2
26.0,21.0,15.0,2762.0,313.0,0
-9.0,-13.0,16.0,350.0,60.0,2
16.0,7.0,12.0,1209.0,140.0,2
28.0,-4.0,14.0,775.0,99.0,2
-10.0,-17.0,11.0,1535.0,193.0,0
-5.0,-18.0,16.0,594.0,79.0,2
16.0,0.0,8.0,806.0,116.0,2
-2.0,0.0,19.0,1587.0,186.0,0
-10.0,-30.0,17.0,316.0,42.0,2
14.0,13.0,12.0,283.0,53.0,2
-4.0,-10.0,14.0,581.0,86.0,2
-6.0,-14.0,16.0,1430.0,170.0,0
-7.0,4.0,10.0,963.0,149.0,2
11.0,5.0,15.0,1262.0,143.0,2
-15.0,-11.0,8.0,344.0,62.0,2
17.0,-3.0,13.0,200.0,41.0,2
4.0,0.0,20.0,2425.0,279.0,0
-2.0,-8.0,19.0,632.0,92.0,2
111.0,103.0,25.0,190.0,36.0,1
182.0,164.0,10.0,214.0,36.0,1
9.0,9.0,16.0,677.0,93.0,2
2.0,7.0,21.0,341.0,55.0,2
0.0,-15.0,15.0,628.0,86.0,2
-7.0,4.0,24.0,737.0,115.0,2
-8.0,-17.0,11.0,270.0,41.0,2
-8.0,-12.0,16.0,255.0,47.0,2
31.0,18.0,21.0,425.0,73.0,2
3.0,2.0,30.0,599.0,93.0,2
-5.0,-6.0,23.0,602.0,81.0,2
20.0,13.0,20.0,448.0,61.0,2
-5.0,-21.0,13.0,620.0,101.0,2
8.0,-17.0,8.0,1090.0,123.0,2
-5.0,-14.0,11.0,304.0,51.0,2
-6.0,-15.0,18.0,200.0,41.0,2
-2.0,-12.0,16.0,1099.0,125.0,2
0.0,12.0,11.0,2521.0,294.0,0
7.0,-9.0,19.0,1171.0,161.0,2
41.0,41.0,25.0,806.0,116.0,1
-7.0,-12.0,14.0,925.0,125.0,2
-10.0,0.0,28.0,565.0,80.0,2
12.0,38.0,51.0,689.0,90.0,1
45.0,64.0,22.0,950.0,129.0,1
-9.0,-19.0,21.0,308.0,48.0,2
5.0,-17.0,17.0,802.0,107.0,2
2.0,-21.0,9.0,402.0,58.0,2
-7.0,-15.0,22.0,1660.0,219.0,0
15.0,8.0,16.0,265.0,38.0,2
-1.0,8.0,31.0,980.0,139.0,2
2.0,-6.0,15.0,1587.0,219.0,0
-7.0,-31.0,13.0,1501.0,207.0,0
10.0,-4.0,15.0,842.0,107.0,2
-8.0,-16.0,13.0,1139.0,150.0,2
-8.0,-4.0,33.0,678.0,90.0,2
-2.0,-7.0,22.0,225.0,45.0,2
26.0,8.0,22.0,284.0,46.0,2
-9.0,-24.0,9.0,793.0,108.0,2
-6.0,-10.0,21.0,649.0,93.0,2
-2.0,-16.0,21.0,413.0,66.0,2
107.0,78.0,14.0,1874.0,244.0,0
-10.0,-26.0,15.0,1379.0,167.0,0
-1.0,-6.0,15.0,370.0,57.0,2
-7.0,-19.0,21.0,2541.0,314.0,0
-7.0,-22.0,17.0,1065.0,157.0,2
-8.0,-17.0,13.0,1055.0,135.0,2
-4.0,22.0,14.0,631.0,124.0,2
-5.0,-11.0,29.0,139.0,29.0,2
-7.0,-19.0,13.0,733.0,120.0,2
49.0,7.0,38.0,1824.0,223.0,0
-3.0,-5.0,19.0,533.0,78.0,2
-5.0,-32.0,9.0,748.0,109.0,2
-7.0,-25.0,14.0,306.0,52.0,2
58.0,54.0,15.0,408.0,59.0,2
-6.0,-17.0,15.0,1121.0,137.0,2
-18.0,-29.0,15.0,1448.0,177.0,0
2.0,9.0,37.0,761.0,109.0,1
-6.0,-15.0,14.0,983.0,137.0,2
-6.0,-10.0,24.0,997.0,145.0,2
-1.0,7.0,26.0,2343.0,266.0,0
0.0,-4.0,15.0,1371.0,171.0,0
-3.0,0.0,12.0,639.0,94.0,2
10.0,0.0,10.0,854.0,113.0,2
42.0,22.0,13.0,1035.0,143.0,2
-9.0,-35.0,14.0,1565.0,165.0,0
-3.0,-16.0,17.0,594.0,88.0,2
-7.0,-13.0,18.0,228.0,47.0,2
-5.0,-17.0,10.0,102.0,20.0,2
-8.0,-6.0,18.0,406.0,64.0,2
-6.0,-7.0,23.0,373.0,70.0,2
-10.0,-19.0,13.0,236.0,38.0,2
-7.0,-29.0,13.0,594.0,85.0,2
-3.0,-19.0,10.0,397.0,67.0,2
-8.0,-13.0,13.0,383.0,63.0,2
-1.0,-15.0,20.0,861.0,112.0,2
-1.0,-13.0,19.0,1616.0,208.0,0
-5.0,-15.0,23.0,1608.0,195.0,0
-1.0,-2.0,14.0,488.0,75.0,2
0.0,34.0,36.0,1599.0,180.0,0
16.0,2.0,10.0,383.0,60.0,2
-1.0,10.0,13.0,1158.0,172.0,0
-6.0,-19.0,17.0,925.0,122.0,2
2.0,8.0,22.0,356.0,70.0,2
-5.0,-14.0,24.0,1851.0,221.0,0
-10.0,-20.0,16.0,303.0,50.0,2
33.0,26.0,11.0,979.0,133.0,2
-6.0,-23.0,13.0,264.0,49.0,2
-5.0,-16.0,11.0,860.0,108.0,2
5.0,-17.0,14.0,213.0,37.0,2
0.0,-7.0,21.0,120.0,28.0,2
-6.0,-18.0,9.0,399.0,59.0,2
18.0,9.0,10.0,1185.0,163.0,2
-4.0,-4.0,32.0,748.0,104.0,2
-3.0,-19.0,17.0,349.0,69.0,2
-5.0,-15.0,8.0,272.0,47.0,2
-8.0,-24.0,18.0,594.0,96.0,2
59.0,44.0,10.0,1297.0,176.0,0
41.0,38.0,16.0,1099.0,132.0,2
-1.0,31.0,21.0,888.0,173.0,2
1.0,-10.0,14.0,940.0,155.0,2
-2.0,-11.0,20.0,852.0,120.0,2
-3.0,-24.0,11.0,861.0,123.0,2
-1.0,-5.0,36.0,2176.0,292.0,0
-3.0,8.0,27.0,1154.0,141.0,2
81.0,86.0,15.0,214.0,41.0,1
-7.0,-29.0,16.0,184.0,37.0,2
